Simulation	"Annual financial bail-out"	Attention rate for planning new infrastructure	Percentage of income used for maintenance	Staff required for tankers	Staff service time	switch policy staff attention	Target percentage infrastructure maintenance	householdshortage
343	11.0013	0.637054	0.269966	0	15.2908	0	0.187815	216.529
344	45.4214	0.115944	0.475496	1	16.6275	1	0.161924	0
345	69.7419	0.203867	0.268623	1	9.01405	2	0.0989902	3036.01
346	196.572	0.266912	0.431879	0	17.7218	0	0.189294	0
347	248.109	0.880986	0.383821	1	23.3174	1	0.146673	0
348	88.1125	0.818744	0.501274	0	6.71445	2	0.0807651	5423.73
349	181.446	0.523162	0.515383	0	9.72736	2	0.0883903	4478.28
350	39.3668	0.422772	0.292871	1	19.5637	1	0.131913	85.6768
351	75.7125	0.894668	0.283998	0	8.4334	0	0.107741	66.1665
352	186.982	0.0533033	0.59063	1	24.8154	2	0.150711	0
353	28.26	0.198206	0.3224	0	15.1707	0	0.116398	20.9333
354	150.592	0.656144	0.582509	1	21.4368	1	0.212631	0
355	59.5571	0.0864877	0.358819	0	24.3098	0	0.212092	36.0698
356	221.868	0.0676526	0.325111	1	22.7799	1	0.0673637	0
357	2.27838	0.659516	0.22334	0	9.04687	2	0.0647593	2637.7
358	131.869	0.762113	0.24586	1	17.9048	0	0.229849	130.685
359	174.8	0.218661	0.541021	1	11.219	2	0.0744768	0
360	145.465	0.0589487	0.366511	0	16.8933	1	0.0696841	0
361	67.4995	0.223973	0.234535	0	7.67985	1	0.0657517	2863.65
362	144.582	0.548241	0.319569	1	20.3472	0	0.128837	0
363	35.654	0.476796	0.406656	1	22.1456	2	0.126872	0
364	62.2024	0.514903	0.46262	0	24.5563	1	0.206835	0
365	104.578	0.249295	0.563923	1	20.5615	2	0.189478	0
366	225.029	0.0530219	0.389693	0	23.2379	0	0.155433	0
367	171.827	0.776109	0.442058	1	6.13083	1	0.224754	145775
368	180.865	0.213211	0.346464	0	13.7833	2	0.22621	0
369	39.8103	0.838032	0.225449	0	13.2004	0	0.230527	369.267
370	31.6672	0.771749	0.26991	1	10.9727	1	0.101107	2861.29
371	61.6059	0.692112	0.484486	1	20.976	0	0.169251	0
