Simulation	"Annual financial bail-out"	Attention rate for planning new infrastructure	Default infrastructure aging time	Maximum capacity exceeding	Percentage of income used for maintenance	Staff Hired	Staff required for tankers	Staff service time	switch policy staff attention	Target percentage infrastructure maintenance	householdshortage
237	14.5539	0.345167	38.9835	0.363932	0.289693	1	1	13.121	0	0.146133	101904
238	99.3245	0.722911	22.7222	0.00914689	0.513429	0	0	16.7197	2	0.0973315	185217
239	94.8482	0.194156	25.6793	0.236341	0.422375	16	0	10.9087	1	0.0708192	0
240	242.787	0.4057	24.9373	0.218512	0.290348	17	1	16.5097	0	0.203222	0
241	227.148	0.291978	34.8304	0.477154	0.33231	14	0	14.8645	2	0.199137	0
242	14.4271	0.671236	20.1447	0.418706	0.520049	25	1	12.8621	1	0.138101	0
243	67.7286	0.742188	39.7825	0.110922	0.326741	15	0	20.3663	0	0.164206	166.086
244	168.715	0.0775866	27.1708	0.0126218	0.491775	7	1	12.5019	1	0.205637	2691.23
245	23.8779	0.886842	28.5048	0.277322	0.533616	3	0	9.96422	0	0.238485	160905
246	90.9394	0.964563	24.2099	0.221512	0.372576	11	1	8.00367	2	0.0767246	0
247	122.55	0.0739638	29.1014	0.313821	0.220431	22	0	21.1061	1	0.208044	0
248	219.41	0.193796	32.8962	0.279625	0.548564	9	1	15.4725	0	0.164862	0
249	151.779	0.25615	26.0849	0.0348178	0.361775	6	1	10.5909	2	0.0592391	2522.26
250	32.076	0.942832	36.3863	0.395743	0.299631	8	0	17.1039	0	0.0916436	0
251	189.434	0.623449	22.9746	0.068892	0.262623	23	0	21.0797	2	0.192094	2687.44
252	111.392	0.0761999	36.4731	0.145921	0.551252	13	1	12.7609	1	0.0925363	0
253	162.602	0.738755	34.5569	0.21735	0.314307	20	1	7.12824	0	0.106029	0
254	68.9847	0.605454	20.2187	0.461912	0.581111	19	0	17.9336	2	0.237977	0
255	155.712	0.0973333	26.382	0.118471	0.301059	5	1	16.36	1	0.247394	31665.2
256	192.753	0.965891	26.5721	0.214884	0.213372	4	0	19.3013	0	0.240759	151870
257	134.904	0.648402	20.5543	0.126553	0.268053	10	0	20.6415	1	0.110195	2173.56
258	212.206	0.60927	35.401	0.227871	0.361372	18	1	21.627	2	0.182723	0
259	247.908	0.0284892	32.9084	0.304586	0.225864	21	0	24.9436	1	0.140602	0
260	65.0179	0.627654	32.7718	0.2424	0.234058	12	1	15.6148	2	0.202939	0
261	200.438	0.50248	20.3903	0.0871042	0.570211	21	1	22.5894	0	0.0632977	1181.31
262	121.277	0.252809	28.3451	0.22693	0.339325	3	0	14.7176	2	0.140082	5771.3
263	132.983	0.646749	28.6731	0.465189	0.237852	18	0	22.3529	0	0.202743	0
264	112.731	0.639586	24.6113	0.0626985	0.315204	8	1	22.4167	1	0.112995	2370.43
265	231.889	0.530211	29.5385	0.31335	0.49881	9	0	5.34858	0	0.0615272	593.728
266	211.976	0.53348	28.2023	0.296227	0.577423	7	1	15.0594	2	0.0623605	0
267	30.5782	0.0905032	20.6634	0.461987	0.399973	15	0	12.5898	1	0.159695	0
268	148.755	0.420389	23.2466	0.291912	0.214258	25	1	9.0998	1	0.207081	549.866
269	167.963	0.667948	32.1379	0.382076	0.348754	20	0	6.95884	0	0.175998	0
270	194.359	0.635656	29.1472	0.334379	0.255673	6	1	14.1303	2	0.0511651	0
271	38.4361	0.35187	28.5536	0.0839411	0.536902	0	1	23.9158	2	0.17187	168264
272	158.182	0.455687	32.1449	0.336453	0.203968	4	0	18.2521	0	0.130471	0
273	175.994	0.153293	30.262	0.498686	0.418849	10	1	14.7056	1	0.126081	0
274	150.521	0.805164	38.6112	0.48905	0.392166	14	0	15.8885	0	0.0860815	0
275	195.185	0.660499	26.9005	0.140124	0.580638	11	1	11.7994	2	0.236104	4.98648
276	96.4366	0.397018	31.2956	0.129219	0.355723	22	0	8.13075	1	0.231341	66.4905
277	131.668	0.334756	35.7828	0.35311	0.240642	2	1	6.80579	2	0.188146	127928
278	225.953	0.671018	32.6153	0.418752	0.512748	23	0	12.3115	1	0.0948051	0
279	215.608	0.201698	25.3987	0.341066	0.369664	24	1	5.89295	0	0.244245	0
280	116.655	0.621438	38.2885	0.263841	0.408881	5	0	19.8484	2	0.167743	0
281	221.324	0.700276	28.6831	0.101321	0.514054	13	1	17.3226	1	0.0688705	336.505
282	160.789	0.554457	37.6079	0.46464	0.396774	12	0	23.9721	0	0.247945	0
283	141.617	0.755834	35.1611	0.464438	0.263189	16	0	21.0254	2	0.13701	0
284	166.701	0.437086	28.8086	0.0501673	0.431288	19	1	13.3774	0	0.112204	1396.1
285	1.21294	0.443392	34.2041	0.174181	0.456713	17	1	6.60048	1	0.0743238	0
286	215.243	0.97967	35.4938	0.161405	0.393561	1	0	22.0654	0	0.196352	149205
287	146.398	0.527005	24.1715	0.328129	0.42937	25	1	16.2975	2	0.123967	0
288	21.5397	0.319741	20.911	0.381003	0.36629	10	0	6.98137	1	0.203377	-1.29807e+033
289	99.6542	0.601493	22.6826	0.14481	0.444104	15	0	14.5873	1	0.0946643	114.578
290	49.7386	0.452614	28.8584	0.444996	0.258768	4	1	11.2648	0	0.180823	0
291	192.896	0.227922	36.0883	0.0639834	0.503752	24	0	15.4535	2	0.151374	695.961
292	208.143	0.961295	39.2022	0.397989	0.523046	23	1	15.1527	2	0.136716	0
